student_cooperation.gt
Iteration 10 New: [0, 0, 62, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 420 New: [0, 0, 101, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 430 New: [0, 0, 106, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 440 New: [0, 0, 104, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 450 New: [0, 0, 108, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 460 New: [0, 0, 108, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 470 New: [0, 0, 113, 17, 28] diff:[0, 0, 1, 0, 0]
Iteration 480 New: [0, 0, 117, 17, 28] diff:[0, 0, 1, 0, 0]
Iteration 490 New: [0, 0, 122, 17, 27] diff:[0, 0, -1, 0, 0]
Iteration 500 New: [0, 0, 120, 17, 27] diff:[0, 0, 1, 0, 0]
Iteration 510 New: [0, 0, 125, 17, 26] diff:[0, 0, 0, 0, -1]
Iteration 520 New: [0, 0, 129, 17, 26] diff:[0, 0, -1, 0, 0]
Iteration 530 New: [0, 0, 130, 18, 26] diff:[0, 0, 0, 1, 0]
Iteration 540 New: [0, 0, 135, 18, 25] diff:[0, 0, 1, 0, 0]
Iteration 550 New: [0, 0, 139, 18, 25] diff:[0, 0, 1, 0, 0]
Iteration 560 New: [0, 0, 143, 18, 25] diff:[0, 0, -1, 0, 0]
Iteration 570 New: [0, 0, 143, 18, 25] diff:[0, 0, -1, 0, 0]
Iteration 580 New: [0, 0, 148, 18, 24] diff:[0, 0, 1, 0, 0]
Iteration 590 New: [0, 0, 157, 18, 23] diff:[0, 0, 1, 0, 0]
Iteration 600 New: [0, 0, 158, 19, 23] diff:[0, 0, 1, 0, 0]
Iteration 610 New: [0, 0, 159, 19, 22] diff:[0, 0, 1, 0, 0]
Iteration 620 New: [0, 0, 165, 19, 22] diff:[0, 0, 1, 0, 0]
Iteration 630 New: [0, 0, 171, 19, 22] diff:[0, 0, 1, 0, 0]
Iteration 640 New: [0, 0, 176, 19, 21] diff:[0, 0, 1, 0, 0]
Iteration 650 New: [0, 0, 176, 19, 21] diff:[0, 0, -1, 0, 0]
Iteration 660 New: [0, 0, 176, 19, 21] diff:[0, 0, -1, 0, 0]
Iteration 670 New: [0, 0, 176, 19, 21] diff:[0, 0, 1, 0, 0]
Iteration 680 New: [0, 0, 176, 19, 21] diff:[0, 0, -1, 0, 0]
Iteration 690 New: [0, 0, 176, 19, 21] diff:[0, 0, 1, 0, 0]
Iteration 700 New: [0, 0, 178, 19, 21] diff:[0, 0, -1, 0, 0]
Iteration 710 New: [0, 0, 182, 19, 21] diff:[0, 0, -1, 0, 0]
Iteration 720 New: [0, 0, 185, 19, 20] diff:[0, 0, 1, 0, 0]
Iteration 730 New: [0, 0, 189, 19, 20] diff:[0, 0, 1, 0, 0]
Iteration 740 New: [0, 0, 187, 19, 20] diff:[0, 0, -1, 0, 0]
Iteration 750 New: [0, 0, 194, 19, 19] diff:[0, 0, 1, 0, 0]
Iteration 760 New: [0, 0, 199, 19, 18] diff:[0, 0, -1, 0, 0]
Iteration 770 New: [0, 0, 205, 19, 18] diff:[0, 0, 1, 0, 0]
Iteration 780 New: [0, 0, 207, 19, 18] diff:[0, 0, 1, 0, 0]
Iteration 790 New: [0, 0, 210, 19, 17] diff:[0, 0, 1, 0, 0]
Iteration 800 New: [0, 0, 214, 19, 17] diff:[0, 0, 1, 0, 0]
Iteration 810 New: [0, 0, 220, 19, 17] diff:[0, 0, 1, 0, 0]
Iteration 820 New: [0, 0, 225, 19, 16] diff:[0, 0, 1, 0, 0]
Iteration 830 New: [0, 0, 225, 19, 16] diff:[0, 0, -1, 0, 0]
Iteration 840 New: [0, 0, 225, 19, 16] diff:[0, 0, 1, 0, 0]
Iteration 850 New: [0, 0, 227, 19, 16] diff:[0, 0, 1, 0, 0]
Iteration 860 New: [0, 0, 234, 19, 15] diff:[0, 0, 1, 0, 0]
Iteration 870 New: [0, 0, 236, 19, 15] diff:[0, 0, -1, 0, 0]
Iteration 880 New: [0, 0, 240, 19, 15] diff:[0, 0, -1, 0, 0]
Iteration 890 New: [0, 0, 243, 19, 14] diff:[0, 0, 1, 0, 0]
Iteration 900 New: [0, 0, 248, 19, 13] diff:[0, 0, 1, 0, 0]
Iteration 910 New: [0, 0, 255, 19, 12] diff:[0, 0, 0, 0, -1]
Iteration 920 New: [0, 0, 265, 19, 12] diff:[0, 0, 1, 0, 0]
Iteration 930 New: [0, 0, 272, 19, 11] diff:[0, 0, 1, 0, 0]
Iteration 940 New: [0, 0, 274, 19, 11] diff:[0, 0, 1, 0, 0]
Iteration 950 New: [0, 0, 282, 19, 9] diff:[0, 0, 0, 0, -1]
Iteration 960 New: [0, 0, 290, 19, 9] diff:[0, 0, -1, 0, 0]
Iteration 970 New: [0, 0, 292, 19, 9] diff:[0, 0, 1, 0, 0]
Iteration 980 New: [0, 0, 295, 19, 8] diff:[0, 0, 1, 0, 0]
Iteration 990 New: [0, 0, 303, 19, 8] diff:[0, 0, 1, 0, 0]
Iteration 1000 New: [0, 0, 303, 19, 8] diff:[0, 0, -1, 0, 0]
Iteration 1010 New: [0, 0, 301, 19, 8] diff:[0, 0, -1, 0, 0]
Iteration 1020 New: [0, 0, 303, 19, 8] diff:[0, 0, -1, 0, 0]
Iteration 1030 New: [0, 0, 310, 19, 7] diff:[0, 0, -1, 0, 0]
Iteration 1040 New: [0, 0, 316, 19, 7] diff:[0, 0, 1, 0, 0]
Iteration 1050 New: [0, 0, 312, 19, 7] diff:[0, 0, -1, 0, 0]
Iteration 1060 New: [0, 0, 317, 19, 6] diff:[0, 0, 1, 0, 0]
Iteration 1070 New: [0, 0, 323, 19, 6] diff:[0, 0, 1, 0, 0]
Iteration 1080 New: [0, 0, 326, 19, 5] diff:[0, 0, 1, 0, 0]
Iteration 1090 New: [0, 0, 330, 19, 5] diff:[0, 0, -1, 0, 0]
Iteration 1100 New: [0, 0, 337, 19, 4] diff:[0, 0, 1, 0, 0]
Iteration 1110 New: [0, 0, 339, 19, 4] diff:[0, 0, 1, 0, 0]
Iteration 1120 New: [0, 0, 346, 19, 3] diff:[0, 0, 1, 0, 0]
Iteration 1130 New: [0, 0, 350, 19, 3] diff:[0, 0, 1, 0, 0]
Iteration 1140 New: [0, 0, 357, 19, 2] diff:[0, 0, 1, 0, 0]
Iteration 1150 New: [0, 0, 365, 19, 2] diff:[0, 0, 1, 0, 0]
Iteration 1160 New: [0, 0, 372, 19, 1] diff:[0, 0, 1, 0, 0]
Iteration 1170 New: [0, 0, 376, 19, 1] diff:[0, 0, -1, 0, 0]
Iteration 1180 New: [0, 0, 381, 19, 0] diff:[0, 0, 1, 0, 0]
Iteration 1190 New: [0, 0, 388, 18, 0] diff:[0, 0, 1, 0, 0]
Iteration 1200 New: [0, 0, 391, 17, 0] diff:[0, 0, 1, 0, 0]
Iteration 1210 New: [0, 0, 396, 16, 0] diff:[0, 0, 0, -1, 0]
Iteration 1220 New: [0, 0, 401, 15, 0] diff:[0, 0, 1, 0, 0]
Iteration 1230 New: [0, 0, 407, 13, 0] diff:[0, 0, 1, 0, 0]
Iteration 1240 New: [0, 0, 412, 12, 0] diff:[0, 0, 1, 0, 0]
Iteration 1250 New: [0, 0, 420, 10, 0] diff:[0, 0, 1, 0, 0]
Iteration 1260 New: [0, 0, 427, 9, 0] diff:[0, 0, 1, 0, 0]
Iteration 1270 New: [0, 0, 432, 8, 0] diff:[0, 0, 1, 0, 0]
Iteration 1280 New: [0, 0, 433, 7, 0] diff:[0, 0, 1, 0, 0]
Iteration 1290 New: [0, 0, 440, 6, 0] diff:[0, 0, 1, 0, 0]
Iteration 1300 New: [0, 0, 446, 4, 0] diff:[0, 0, 0, -1, 0]
Iteration 1310 New: [0, 0, 451, 3, 0] diff:[0, 0, -1, 0, 0]
Iteration 1320 New: [0, 0, 455, 1, 0] diff:[0, 0, 1, 0, 0]
Iteration 1330 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1340 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1350 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1360 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1370 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1380 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1390 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1400 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1410 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1420 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1430 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1440 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1450 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1460 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1470 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1480 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1490 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1500 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1510 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1520 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1530 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1540 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1550 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1560 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1570 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1580 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1590 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1600 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1610 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1620 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1630 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1640 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1650 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1660 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1670 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1680 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1690 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1700 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1710 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1720 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1730 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1740 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1750 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1760 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1770 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1780 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1790 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1800 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1810 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1820 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1830 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1840 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1850 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1860 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1870 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1880 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1890 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1900 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1910 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1920 New: [0, 0, 462, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1930 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1940 New: [0, 0, 462, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1950 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1960 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1970 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1980 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1990 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2000 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2010 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2020 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2030 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2040 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2050 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2060 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2070 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2080 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2090 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2100 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2110 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2120 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2130 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2140 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2150 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2160 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2170 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2180 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2190 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2200 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2210 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2220 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2230 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2240 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2250 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2260 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2270 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2280 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2290 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2300 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2310 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2320 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2330 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2340 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2350 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2360 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2370 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2380 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2390 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2400 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2410 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2420 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2430 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2440 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2450 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2460 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2470 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2480 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2490 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2500 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2510 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2520 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2530 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2540 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2550 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2560 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2570 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2580 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2590 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2600 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2610 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2620 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2630 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2640 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2650 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2660 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2670 New: [0, 0, 460, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2680 New: [0, 0, 462, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2690 New: [0, 0, 462, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2700 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2710 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2720 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2730 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2740 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2750 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2760 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2770 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2780 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2790 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2800 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2810 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2820 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2830 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2840 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2850 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2860 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2870 New: [0, 0, 460, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2880 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2890 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2900 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2910 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2920 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2930 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2940 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2950 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2960 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2970 New: [0, 0, 460, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2980 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2990 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3000 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3010 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3020 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3030 New: [0, 0, 456, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3040 New: [0, 0, 462, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3050 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3060 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3070 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3080 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3090 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3100 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3110 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3120 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3130 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3140 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3150 New: [0, 0, 458, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 3160 New: [0, 0, 456, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3170 New: [0, 0, 460, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 3180 New: [0, 0, 458, 0, 0] diff:[0, 0, -1, 0, 0]
