student_cooperation.gt
Iteration 10 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 1030 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1040 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1050 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1060 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1070 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1080 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1090 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1100 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1110 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1120 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1130 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1140 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1150 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1160 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1170 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1180 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1190 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1200 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1210 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1220 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1230 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1240 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1250 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1260 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1270 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1280 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1290 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1300 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1310 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1320 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1330 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1340 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1350 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1360 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1370 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1380 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1390 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1400 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1410 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1420 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1430 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1440 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1450 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1460 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1470 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1480 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1490 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1500 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1510 New: [0, 0, 434, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1520 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1530 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1540 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1550 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1560 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1570 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1580 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1590 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1600 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1610 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1620 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1630 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1640 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1650 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1660 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1670 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1680 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1690 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1700 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1710 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1720 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1730 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1740 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1750 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1760 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1770 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1780 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1790 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1800 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1810 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1820 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1830 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1840 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1850 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1860 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1870 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1880 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1890 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1900 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1910 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1920 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1930 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1940 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1950 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1960 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 1970 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1980 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 1990 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2000 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2010 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2020 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2030 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2040 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2050 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2060 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2070 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2080 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2090 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2100 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2110 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2120 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2130 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2140 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2150 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2160 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2170 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2180 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2190 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2200 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2210 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2220 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2230 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2240 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2250 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2260 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2270 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2280 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2290 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2300 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2310 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2320 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2330 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2340 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2350 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2360 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2370 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2380 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2390 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2400 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2410 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2420 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2430 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2440 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2450 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2460 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2470 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2480 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2490 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2500 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2510 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2520 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2530 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2540 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2550 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2560 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2570 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2580 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2590 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2600 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2610 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2620 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2630 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2640 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2650 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2660 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2670 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2680 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2690 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2700 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2710 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2720 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2730 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2740 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2750 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2760 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2770 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2780 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2790 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2800 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2810 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2820 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2830 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2840 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2850 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2860 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2870 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2880 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2890 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2900 New: [0, 0, 434, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2910 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2920 New: [0, 0, 432, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2930 New: [0, 0, 432, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2940 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2950 New: [0, 0, 428, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2960 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
Iteration 2970 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2980 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Iteration 2990 New: [0, 0, 430, 0, 0] diff:[0, 0, -1, 0, 0]
Auto-stopped algorithm at 3000th iteration

A target 10000 more iterations took 5017581932 ns.
Total iterations 3000
Total algorithm runtime 5017581932 ns
  or 5017.581932 ms
